fips,tmin201701,tmin201702,tmin201703,tmin201704,tmin201705,tmin201706,tmin201707,tmin201708,tmin201709,tmin201710,tmin201711,tmin201712,tmin201801,tmin201802,tmin201803,tmin201804,tmin201805,tmin201806,tmin201807,tmin201808,tmin201809,tmin201810,tmin201811,tmin201812,tmin201901,tmin201902,tmin201903,tmin201904,tmin201905,tmin201906,tmin201907,tmin201908,tmin201909,tmin201910,tmin201911,tmin201912,tmax201701,tmax201702,tmax201703,tmax201704,tmax201705,tmax201706,tmax201707,tmax201708,tmax201709,tmax201710,tmax201711,tmax201712,tmax201801,tmax201802,tmax201803,tmax201804,tmax201805,tmax201806,tmax201807,tmax201808,tmax201809,tmax201810,tmax201811,tmax201812,tmax201901,tmax201902,tmax201903,tmax201904,tmax201905,tmax201906,tmax201907,tmax201908,tmax201909,tmax201910,tmax201911,tmax201912,tavg201701,tavg201702,tavg201703,tavg201704,tavg201705,tavg201706,tavg201707,tavg201708,tavg201709,tavg201710,tavg201711,tavg201712,tavg201801,tavg201802,tavg201803,tavg201804,tavg201805,tavg201806,tavg201807,tavg201808,tavg201809,tavg201810,tavg201811,tavg201812,tavg201901,tavg201902,tavg201903,tavg201904,tavg201905,tavg201906,tavg201907,tavg201908,tavg201909,tavg201910,tavg201911,tavg201912,prec201701,prec201702,prec201703,prec201704,prec201705,prec201706,prec201707,prec201708,prec201709,prec201710,prec201711,prec201712,prec201801,prec201802,prec201803,prec201804,prec201805,prec201806,prec201807,prec201808,prec201809,prec201810,prec201811,prec201812,prec201901,prec201902,prec201903,prec201904,prec201905,prec201906,prec201907,prec201908,prec201909,prec201910,prec201911,prec201912
21001,0.94483776,1.60200028,2.849840221,10.2336849,12.52511417,16.43215316,19.44320539,17.40344194,14.02272822,9.040280656,2.868343604,-2.304306077,-5.508464756,1.932892337,1.673121062,4.18629393,15.93907948,18.48719525,19.21156368,18.87760874,18.0631263,9.188487619,0.929739163,0.469258496,-2.149806806,0.691145085,0.545915248,7.915896816,14.47902822,16.88793002,19.51163811,18.16622612,16.47424107,8.909205292,-0.336086039,0.791641683,10.36561795,14.79010824,16.08639233,23.20599736,24.96737035,28.52987133,30.76093822,28.94946336,26.81304792,22.69480077,15.47494165,8.681981509,6.035328935,13.48720874,13.26241539,17.75581355,28.46407334,30.17940104,30.7754916,29.85849321,28.30506037,21.52256648,11.45889808,10.01926643,7.647623959,11.85158705,13.12985169,21.56884731,26.3418589,28.2277332,31.08615629,30.62312563,31.30875964,22.86194381,12.74718813,11.81634907,5.655227855,8.196054259,9.468116278,16.71984113,18.74624226,22.48101225,25.1020718,23.17645265,20.41788807,15.86754071,9.171642625,3.188837716,0.26343209,7.71005054,7.467768225,10.97105374,22.20157641,24.33329814,24.99352764,24.36805098,23.18409333,15.35552705,6.194318623,5.24426246,2.748908576,6.271366067,6.837883469,14.74237206,20.41044356,22.55783161,25.2988972,24.39467588,23.89150036,15.88557455,6.205551044,6.303995374,5530.691746,2232.763674,6710.041958,6433.089499,9194.895839,6798.804755,5675.920114,6310.607481,9385.850027,6410.609005,1494.480829,4479.405022,3402.097013,9895.413731,8238.122912,5807.677167,5118.514769,10601.02763,5100.289651,6429.05051,7454.936653,3175.789668,6369.955606,5566.625698,4885.271329,10255.84,2843.601347,6363.705329,4644.388287,10627.59315,5949.042669,3571.014763,517.6600161,8554.301136,4554.118299,7776.625624
21003,1.715425858,2.078031652,3.450051644,10.56582837,13.08991515,16.84685815,19.97122304,17.65138319,14.10398467,9.133454801,2.839391136,-2.304149443,-6.169842559,2.477175089,2.506710718,4.21419181,16.40447841,19.26833516,19.51796726,19.34459142,18.23509642,9.239898151,0.742545845,0.546714646,-1.915832946,1.344206072,0.38795287,7.566501663,15.05225372,17.12914796,19.89180366,18.28404514,16.13328961,8.728591459,-1.197172583,1.046456901,10.69766573,15.01339786,16.66290258,23.41278768,25.20445483,28.50974203,31.30481923,29.37322144,26.96669553,22.81240882,15.47856562,8.600599753,5.386294929,13.91136619,13.80981799,17.33633376,28.72483655,30.91295078,31.30463776,30.45773079,28.50551855,22.03440513,11.62682744,10.35082398,7.796879788,12.5862178,13.39389387,21.52978351,26.75621824,28.59622303,31.0523788,31.13990123,32.0403234,23.17715574,12.44878069,12.0981734,6.206545792,8.545714756,10.05647711,16.98930803,19.14718499,22.67830009,25.63802114,23.51230231,20.5353401,15.97293181,9.158978377,3.148225155,-0.391773815,8.194270637,8.158264356,10.77526278,22.56465748,25.09064297,25.41130251,24.90116111,23.37030749,15.63715164,6.184686644,5.448769315,2.940523421,6.965211937,6.890923369,14.54814259,20.90423598,22.86268549,25.47209123,24.71197318,24.08680651,15.9528736,5.625804056,6.572315151,5242.273159,2450.220317,5385.589998,6231.816003,11889.45809,7954.070415,5319.002637,6279.081826,9590.251883,4844.627968,2841.165046,5414.596691,3505.112192,12696.61119,7554.613222,6165.046588,5893.363924,7277.787181,3955.91014,8554.965555,8516.85268,5631.417888,8124.874042,6261.937819,6371.774206,13954.81683,3618.266437,7018.164758,3337.258577,14171.01035,6448.894024,5306.442338,1104.721408,10705.73132,6390.977089,9185.413312
21005,-0.250544267,1.056386351,1.926639211,10.05070136,12.32597578,16.141666,19.40964859,16.97063519,13.89129109,8.748407092,2.187561079,-3.842059883,-6.559206445,0.559412551,0.262706976,3.549514863,16.23596395,18.53062008,18.89128776,19.11052952,17.66767713,8.802501936,0.46139991,-0.175649334,-3.663747011,-0.705052215,-0.614616716,7.673261265,14.23474547,16.6696642,19.70005915,18.24278079,16.70201063,8.637207369,-0.850974227,0.128796531,8.795013213,14.02974813,14.74440493,22.73363506,24.1003059,28.38120476,30.29524931,28.54176461,26.30639343,21.56594992,14.02562276,7.000965621,4.77992572,12.04383014,11.35162774,16.70069115,28.03465687,29.60550112,30.36982773,29.39886243,27.54867643,20.627339,9.96499284,8.88745467,5.761099749,10.47345876,11.70131808,20.77106152,25.42294685,27.39056665,31.12741806,30.55835386,31.41416482,22.56127882,11.31687032,10.66529812,4.272234473,7.543067241,8.33552207,16.39216821,18.21314084,22.26143538,24.85244895,22.7561999,20.09884226,15.1571785,8.106591917,1.579452869,-0.889640362,6.301621344,5.80716736,10.12510301,22.13531041,24.0680606,24.63055775,24.25469598,22.60817678,14.71492047,5.213196375,4.355902668,1.048676369,4.884203271,5.543350684,14.22216139,19.82884616,22.03011542,25.41373861,24.40056733,24.05808773,15.5992431,5.232948044,5.397047324,3109.90994,1496.093482,3047.312197,1912.864411,3684.920815,3654.972354,3075.518618,2651.952081,3518.564954,4244.685633,1607.240048,1724.945603,1719.13226,6596.756511,3867.843828,3084.40998,3726.351951,4536.828374,3443.611234,3410.220666,6415.419981,3046.033361,4322.77439,3888.345373,3016.02986,5590.482268,2049.68353,3578.189998,3385.590281,5657.734026,2637.430501,2055.71366,191.318944,5163.760691,3695.779109,4528.562798
21007,1.290716549,2.877543857,4.780014503,11.19976636,14.21621152,18.76086554,21.50775535,18.48449104,15.68357071,10.2521117,3.641171897,-1.673712113,-5.390231584,0.840823458,3.398799854,5.008144378,18.09866388,20.79900158,21.3059011,20.2445605,18.46827856,10.2069147,1.533914409,1.243632042,-1.242411847,0.625156635,1.799075019,8.84201882,15.68836965,18.61683063,21.27870479,19.98293364,18.16951637,8.799427584,0.208310128,0.677208682,9.803041763,14.91118577,16.06406455,23.23453484,25.91422884,30.33022459,32.52659262,30.07649854,28.79112186,22.96955528,15.47561273,8.509658885,4.827230198,11.26044017,13.82682551,17.62181205,29.84012375,32.29479833,32.66279258,31.31463233,29.38238441,22.17026153,10.98417987,10.11032165,6.961068262,10.85497134,13.09881663,21.57874957,26.61694743,29.70423843,32.08946851,31.54951381,32.0784494,22.23869754,11.65251045,11.56702263,5.546879156,8.894364811,10.42203953,17.2171506,20.06522018,24.54554507,27.01717398,24.28049479,22.23734628,16.61083349,9.558392311,3.417973386,-0.281500693,6.050631814,8.612812683,11.31497821,23.96939382,26.54689996,26.98434684,25.77959642,23.92533148,16.18858812,6.25904714,5.676976846,2.859328208,5.740063988,7.448945822,15.21038419,21.15265854,24.16053453,26.68408665,25.76622373,25.12398288,15.51906256,5.930410288,6.122115655,2710.131321,2006.163826,4309.80542,7216.28497,5290.255949,4315.744003,2511.466019,1975.290633,2172.031711,3113.806077,2813.889063,3008.379345,3113.99471,8550.381551,4075.36019,5545.394155,4772.70434,4186.907085,1200.580801,2279.895618,4667.040668,2898.861285,3917.41577,4608.241477,4161.114313,8404.544761,4493.521034,4697.269232,7002.247243,4179.264712,6211.593882,3133.640266,757.3704675,6601.553361,5125.826945,2226.089656
21009,1.293043729,1.82196844,3.111038422,10.26444237,12.66919917,16.54318983,19.51939595,17.39208452,14.01355537,9.147149767,2.772085694,-2.352566175,-5.883739991,2.025295994,2.054545429,4.03572336,16.00928088,18.80600761,19.26081298,18.97260595,18.00159758,9.241635895,0.727684928,0.451876418,-2.113296393,0.828222858,0.342608073,7.562642987,14.7216047,16.9892237,19.60305272,18.05877998,16.25954102,8.653664043,-0.924748498,0.792380776,10.74137149,15.04468835,16.61218793,23.570462,25.33996886,28.76789675,31.3277803,29.44139483,27.28360649,23.03039147,15.63521556,8.792320998,5.913906702,13.70693502,13.73203305,17.75663163,28.84876626,30.80828153,31.22403313,30.49952625,28.69063135,22.09799733,11.77855193,10.39984255,7.863987411,12.18538663,13.39670031,21.73682357,26.76676899,28.71958701,31.25613481,31.13787194,32.00285534,23.21075613,12.79143152,12.15303339,6.017207609,8.433328395,9.861613174,16.91745218,19.00458402,22.65554329,25.42358813,23.41673968,20.64858093,16.08877062,9.203650628,3.219877411,0.015083355,7.866115507,7.893289239,10.89617749,22.42902357,24.80714457,25.24242305,24.7360661,23.34611446,15.66981661,6.253118426,5.425859482,2.875345509,6.506804745,6.869654191,14.64973328,20.74418685,22.85440536,25.42959376,24.59832596,24.13119818,15.93221009,5.933341512,6.472707084,8149.385215,3890.86532,7845.721802,8993.798809,15235.14256,11375.75186,7503.456393,8110.959235,14825.44132,7194.872074,3496.264358,7474.061314,5291.841921,16630.10205,10439.6099,8161.690099,8716.701531,10877.75861,5831.822988,10445.11806,11513.34194,6867.837434,10559.23162,8575.669286,8316.463342,19229.22945,5136.043781,10008.28793,5260.669642,19619.36881,8865.369685,6855.48961,1249.475022,14884.29012,8919.489526,12376.24337
21011,-0.485677605,0.371366398,1.045584525,9.091069714,11.54163719,14.86020681,18.39895222,16.01969454,13.33299208,8.035915412,1.468925849,-3.90728031,-7.301351472,0.448677784,-0.322326972,2.968080327,15.17857907,17.44654449,17.95753549,18.42259729,17.35001242,8.257287493,0.141770898,-0.583032904,-3.887009826,-1.244892066,-1.198721212,6.636457587,13.55961876,15.7097392,18.94752207,17.20605866,15.38196516,8.166606068,-1.302505154,-0.41635518,8.118603376,13.21988931,13.9590006,22.05793834,23.68210084,27.95941339,29.91755437,28.06606815,25.64860917,21.57428187,13.46810806,6.721210864,3.905952821,11.58347606,10.50912574,16.13664435,27.6803016,29.12601674,30.13643994,29.23631901,27.00823141,20.31147439,9.733878593,8.304206089,4.922541516,9.867360911,11.44018162,20.35319038,25.62173198,27.12277756,30.81125686,29.84908555,30.61537718,22.23558839,10.87663533,9.860928013,3.816462886,6.795627854,7.502292561,15.57450403,17.61186901,21.4098101,24.15825329,22.04288134,19.49080063,14.80509864,7.468516953,1.406965277,-1.697699326,6.016076923,5.093399386,9.552362337,21.42944033,23.28628062,24.04698771,23.82945815,22.17912192,14.28438094,4.937824745,3.860586592,0.517765845,4.311234422,5.120730202,13.49482398,19.59067537,21.41625838,24.87938946,23.52757211,22.99867117,15.20109723,4.787065087,4.722286416,4329.844201,1908.758535,5198.792948,3721.364903,7272.400442,6333.045223,5650.979031,5876.83926,3845.576156,5720.555423,2574.932287,2552.050346,2488.123956,8794.462942,5425.578892,4819.458024,5087.034845,7027.972628,7121.364085,6280.972256,15758.25426,3796.873762,5711.824833,4747.727335,5072.058036,7162.305894,3315.885521,4428.035659,3665.166131,8597.674097,7721.470743,5375.705674,601.8686852,7016.162863,4385.529323,8595.429548
21013,0.683149204,-0.047439125,1.111736235,8.573026421,11.41942799,14.67338115,18.00532087,16.42496881,12.87104881,7.273648293,1.57191079,-2.700777722,-6.643107025,1.759147911,0.65506764,3.005587366,14.24557891,17.06552388,17.88105985,17.77114677,17.75047132,8.563777525,0.245057686,-0.110890499,-2.531940735,0.404604617,-0.066049808,6.291621722,13.05645883,15.39692025,18.29108594,17.26304974,15.18835805,8.443426773,-1.113199737,-0.208975442,9.514121779,13.75029923,14.79718423,21.88417426,23.74881446,27.03546334,29.5614328,27.81898149,25.55049585,21.77507444,14.51462952,7.789753677,4.875228898,12.98543339,12.17165822,16.51260104,27.04504387,28.6603387,29.56158994,28.25680914,27.45105043,20.41794118,10.88504663,8.907061489,6.845842726,11.34226344,12.79401798,20.66303861,25.96418413,26.94323641,29.45905921,29.09036341,29.82382491,22.02702823,11.96303506,11.38143929,5.098635491,6.85143005,7.954460234,15.22860034,17.58412123,20.85442224,23.78337683,22.12197515,19.21077233,14.52436137,8.043270154,2.544487977,-0.883939064,7.372290653,6.413362931,9.759094203,20.64531139,22.86293129,23.7213249,23.01397796,22.60076087,14.49085935,5.565052158,4.398085495,2.156950995,5.873434027,6.363984084,13.47733016,19.51032148,21.17007833,23.87507258,23.17670657,22.50609148,15.2352275,5.424917661,5.586231926,5753.31598,2668.701182,6737.058217,9713.298962,8262.240621,6402.893103,6538.348456,7279.624307,3355.21813,7276.470411,2634.671002,4228.873785,2645.378762,12929.5929,5691.207408,5850.479257,5792.292587,8136.053396,5631.961214,6112.192016,8205.115358,3607.949035,7105.466737,7984.555183,6411.731449,14750.50963,4396.64029,6247.280796,6813.265013,11154.90809,8456.760063,4969.989522,639.5366107,7585.024682,5800.505203,9871.187395
21015,-0.649970245,0.837886206,1.965460429,9.649613566,11.88525908,15.97144015,19.33728567,17.39913269,14.49508852,9.561405918,2.303982208,-4.009531477,-6.583522495,0.07660488,0.068448455,3.734133392,16.36909723,18.73658932,19.46099843,19.7574941,17.85927661,8.920877481,0.774445166,-0.323774618,-4.304177286,-1.617975632,-0.509754093,7.221419461,13.93310364,16.92307938,20.23664994,18.47645911,17.08581429,8.86178788,-0.57858246,-0.534401478,7.632982795,12.6169701,12.91815256,22.11341316,23.16977127,28.05902904,29.87508731,28.21984563,26.31504031,20.92778582,12.93682181,5.62828006,3.454673884,10.15546179,9.935746378,15.39071672,28.10487736,29.28711894,30.28507369,29.50395098,27.25570045,19.87020966,8.770186397,8.052959824,4.103474212,8.312738545,10.58245093,19.76058121,24.60473715,27.14506533,31.21686611,29.83470553,30.34203281,21.78805041,10.07459888,9.697762323,3.491506275,6.727428152,7.441806495,15.88151337,17.52751518,22.0152346,24.60618649,22.80948916,20.40506441,15.24459587,7.620402009,0.809374291,-1.564424305,5.116033334,5.002097416,9.562425058,22.2369873,24.01185413,24.87303606,24.63072254,22.55748853,14.39554357,4.772315782,3.864592603,-0.100351537,3.347381457,5.036348417,13.49100033,19.26892039,22.03407235,25.72675803,24.15558232,23.71392355,15.32491914,4.748008209,4.581680422,4147.7358,3052.103225,5420.698007,5786.134352,7172.767137,5171.289596,5738.781586,2214.199941,3167.892748,4996.96591,4023.603925,2314.930879,2556.921187,8737.792075,4457.803533,4750.848619,4389.902686,4263.441075,3846.787098,7511.831287,7750.734016,1663.406853,6138.156655,5179.98479,5085.850518,8620.359246,6102.734224,5886.125279,5596.424445,9142.037733,3840.207,3758.889152,558.5731581,3888.245756,3404.473051,4040.886019
21017,-0.430194076,0.637092685,1.347390018,9.437790965,11.94800191,15.49270131,18.93966521,16.4934027,13.55630795,8.355143726,1.7082278,-4.049340777,-7.121678052,0.460010529,-0.155611248,3.217031997,15.6569319,17.96925996,18.45060132,18.800337,17.59152377,8.516862457,0.290047966,-0.443609682,-3.853438987,-1.013508018,-0.978150547,7.043658446,13.90501358,16.20285737,19.43359594,17.66631161,15.93207496,8.397034666,-1.098528859,-0.146328792,8.265447963,13.3996908,14.15529639,22.32637845,23.93749006,28.37442853,30.27858284,28.41951271,26.09188348,21.62391468,13.55817282,6.811825121,4.282696801,11.70590825,10.75254874,16.2882661,27.94783465,29.55829241,30.52258061,29.51244977,27.35342628,20.45935242,9.766573598,8.479304724,5.199885797,9.939512114,11.47094378,20.42808164,25.59607001,27.43623625,31.24732092,30.31599909,31.12972259,22.50196198,11.11414658,10.21932845,3.917626944,7.018391741,7.751343205,15.88208471,17.94274598,21.93356492,24.60912402,22.4564577,19.82409572,14.9895292,7.633200309,1.381242172,-1.419490625,6.082959388,5.298468745,9.75264905,21.80238327,23.76377618,24.48659096,24.15639338,22.47247502,14.48810744,5.028310782,4.017847521,0.673223405,4.463002048,5.246396619,13.73587005,19.7505418,21.81954681,25.34045843,23.99115535,23.53089877,15.44949832,5.00780886,5.036499828,4855.086603,2529.51041,5075.913254,3332.271288,6297.711337,5802.122119,5281.697565,4538.199966,3915.882234,5918.109134,2680.826634,2546.449124,2233.351385,9598.658586,5243.913757,4794.298902,6237.598261,6049.177216,6951.29116,6144.533326,13121.97367,4811.042439,6341.783492,5490.949975,4896.189147,7776.495812,3224.025596,4789.969429,4204.88474,8438.825579,6022.523386,3932.551021,728.1053972,7898.189335,5135.444391,7391.01357
21019,-0.489240961,-0.204873424,0.800141852,8.615635849,11.55522081,15.02304413,18.3274103,16.07972993,13.35253606,7.919614231,1.080244442,-4.13219689,-7.773277475,0.255772948,-0.585496761,2.948709966,15.12374138,17.19964541,18.09243229,18.50134995,17.58428939,8.142409909,0.16460754,-1.123390744,-4.026771137,-1.387456988,-1.238776701,6.362714627,13.28448587,15.64772749,19.04646729,17.08406834,15.25416462,8.086755933,-1.657948488,-1.084405883,8.781088946,13.25206484,13.94927225,22.98185243,24.06606606,28.37446623,30.09299114,28.60589168,26.03550017,22.34730327,13.78345985,7.151918099,4.233102176,11.76087556,10.50248579,16.51775545,28.28449893,29.30761797,30.40376994,29.49615598,27.78334038,20.20237794,10.1760043,8.564616266,5.471191493,10.18438558,11.90141128,21.1364438,25.95744302,27.25986883,31.06783793,30.08632425,30.60708097,22.62010011,11.08343469,10.04199586,4.145923992,6.52359571,7.374707051,15.79874414,17.81064344,21.69875518,24.21020072,22.3428108,19.69401811,15.13345875,7.431852146,1.509860604,-1.770087649,6.008324255,4.958494514,9.733232709,21.70412015,23.25363169,24.24810112,23.99875296,22.68381488,14.17239392,5.170305921,3.720612761,0.722210178,4.398464294,5.331317288,13.74957921,19.62096444,21.45379816,25.05715261,23.5851963,22.93062279,15.35342802,4.7127431,4.478794989,3021.603562,1721.543146,2935.330729,2009.621894,3846.197792,4010.928585,3949.444115,2340.836773,2041.96552,3075.784467,1110.687841,1282.133002,2309.040699,5253.523237,2984.880268,2694.262789,3552.784864,3528.569495,3972.439735,4128.861504,6834.49085,1465.460434,2770.277049,2964.339687,2760.041666,4206.896294,2080.472695,2512.860887,4369.43816,4733.650591,3185.01112,3783.729025,401.8867091,3870.602021,2135.884417,4146.239587
